"dose","risk","risk_log10","abfail","dataset","scenario","curve","fr"
2.5,3.19940103632455e-07,-6.49493131885725,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
3,1.0117390923936e-06,-5.99493146906024,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
3.5,3.19939643023126e-06,-5.49493194410001,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
4,1.01173448616709e-05,-4.99493344631241,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
4.5,3.19935036805497e-05,-4.49493819674592,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
5,0.000101168842510546,-3.99495321881255,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
5.5,0.000319888979443128,-3.49500072162105,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
6,0.00101122796827924,-2.99515092729214,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
6.5,0.00319428891713902,-2.49562580534076,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
7,0.0100663873609173,-1.9971263616925,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
7.5,0.0314876218599938,-1.50186013873097,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
8,0.0962242020102344,-1.01671568183367,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.01",0.01
2,1.40318436980813e-07,-6.85288526159483,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
2.5,4.43725791443583e-07,-6.35288532729856,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
3,1.40318348429425e-06,-5.85288553566709,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
3.5,4.4372490538569e-06,-5.35288619452433,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
4,1.40317462411499e-05,-4.85288827795928,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
4.5,4.43716045360754e-05,-4.35289486633497,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
5,0.000140308602697758,-3.85291570039268,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
5.5,0.000443627458075246,-3.3529815812751,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
6,0.00140220046567929,-2.85318989299227,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
6.5,0.00442742881014224,-2.35384841322337,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
7,0.0139338572048595,-1.85592864445879,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
7.5,0.0434025266153669,-1.36248498792591,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
8,0.13091856493526,-0.882998763859859,"Treatable","Dataset 1","Varying resistant fraction","fr = 0.05",0.05
2,1.89249036997019e-07,-6.72296632175098,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
2.5,5.98457879585901e-07,-6.22296641051594,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
3,1.89248875859249e-06,-5.72296669153502,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
3.5,5.98456267852931e-06,-5.2229675801349,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
4,1.89247264180681e-05,-4.72297039008322,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
4.5,5.98440151368118e-05,-4.22297927588452,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
5,0.000189231148457258,-3.72300737485976,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
5.5,0.000598279018307113,-3.223096227633,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
6,0.00189070091819232,-2.72337716488923,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
6.5,0.005966708653517,-2.22426516766269,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
7,0.018746953810118,-1.7270692906527,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
7.5,0.0580902406484713,-1.23589682438301,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
8,0.172419631944804,-0.763413286307795,"Untreatable","Dataset 1","Varying resistant fraction","fr = 0.1",0.1
2,1.77869096118499e-08,-7.74989950189408,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
2.5,5.62471459408798e-08,-7.24989950936902,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
3,1.77869082240711e-07,-6.74989953577882,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
3.5,5.62471317189228e-07,-6.24989961917936,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
4,1.77868939921222e-06,-5.74989988327369,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
4.5,5.62469893528039e-06,-5.24990071841582,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
5,1.77867516251151e-05,-4.74990335939791,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
5.5,5.62455656986094e-05,-4.24991171087946,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
6,0.000177853280342921,-3.74993812023535,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
6.5,0.000562313317971297,-3.25002163042809,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
7,0.0017771100477969,-2.75028567761332,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
7.5,0.00560892566285554,-2.25112031581605,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
8,0.0176296564616987,-1.75375615044839,"Treatable","Dataset 2","Varying resistant fraction","fr = 0",0
2,1.3108420937602e-07,-6.8824496210017,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
2.5,4.14524608305378e-07,-6.382449682402,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
3,1.31084132104498e-06,-5.8824498770097,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
3.5,4.14523835090552e-06,-5.38245049249442,"Untreatable","Dataset 2","Varying resistant fraction","fr = 0.01",0.01
