"dose","risk","risk_log10","abfail","alpha_s","beta_s","model","panel","variable"
7.5,0.118768833139657,-0.925297510291605,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
8,0.229629380033885,-0.638972546717034,"Untreatable",0.169926723849183,821251892.091713,"Beta-Poisson","B","1"
2,5.67376004290132e-07,-6.24612903552069,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
2.5,1.79419248369506e-06,-5.74613096702081,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
3,5.67365501957795e-06,-5.24613707454096,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
3.5,1.79408746809884e-05,-4.74615638738632,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
4,5.6726050649325e-05,-4.2462174516003,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
4.5,0.000179303815039722,-3.74641046987411,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
5,0.000566213198178733,-3.24702001164101,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
5.5,0.00178262810361673,-2.74893925098813,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
6,0.0055599756615824,-2.25492710950852,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
6.5,0.0168616791085461,-1.77309917993274,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
7,0.0474020041446278,-1.32420329607797,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
7.5,0.113372841226319,-0.94549096941298,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
8,0.215167072632233,-0.66722418871317,"Untreatable",0.277288610720388,20506537291180,"Beta-Poisson","B","2.5"
2,9.13878346331387e-08,-7.0391116128366,"Treatable",NA,NA,"Exponential","C","0"
2.5,2.88993679320448e-07,-6.53911165574265,"Treatable",NA,NA,"Exponential","C","0"
3,9.13877970520893e-07,-6.0391117914298,"Treatable",NA,NA,"Exponential","C","0"
3.5,2.88993303498852e-06,-5.53911222052093,"Treatable",NA,NA,"Exponential","C","0"
4,9.13874212260524e-06,-5.03911357743969,"Treatable",NA,NA,"Exponential","C","0"
4.5,2.88989545255136e-05,-4.53911786838578,"Treatable",NA,NA,"Exponential","C","0"
5,9.13836630698217e-05,-4.03913143744768,"Treatable",NA,NA,"Exponential","C","0"
5.5,0.000288951966420647,-3.53917434565951,"Treatable",NA,NA,"Exponential","C","0"
6,0.00091346092843636,-3.03931002403928,"Treatable",NA,NA,"Exponential","C","0"
6.5,0.00288576536205642,-2.53973898374384,"Treatable",NA,NA,"Exponential","C","0"
7,0.00909715211347051,-2.04109454339096,"Treatable",NA,NA,"Exponential","C","0"
7.5,0.0284857790242422,-1.54537189903323,"Treatable",NA,NA,"Exponential","C","0"
8,0.0873363241456057,-1.05880509083092,"Treatable",NA,NA,"Exponential","C","0"
2,1.01173955324718e-07,-6.9949312712364,"Treatable",NA,NA,"Exponential","C","0.01"
2.5,3.19940103632455e-07,-6.49493131885725,"Treatable",NA,NA,"Exponential","C","0.01"
3,1.0117390923936e-06,-5.99493146906024,"Treatable",NA,NA,"Exponential","C","0.01"
3.5,3.19939643023126e-06,-5.49493194410001,"Treatable",NA,NA,"Exponential","C","0.01"
4,1.01173448616709e-05,-4.99493344631241,"Treatable",NA,NA,"Exponential","C","0.01"
4.5,3.19935036805497e-05,-4.49493819674592,"Treatable",NA,NA,"Exponential","C","0.01"
5,0.000101168842510546,-3.99495321881255,"Treatable",NA,NA,"Exponential","C","0.01"
5.5,0.000319888979443128,-3.49500072162105,"Treatable",NA,NA,"Exponential","C","0.01"
6,0.00101122796827924,-2.99515092729214,"Treatable",NA,NA,"Exponential","C","0.01"
6.5,0.00319428891713902,-2.49562580534076,"Treatable",NA,NA,"Exponential","C","0.01"
7,0.0100663873609173,-1.9971263616925,"Treatable",NA,NA,"Exponential","C","0.01"
7.5,0.0314876218599938,-1.50186013873097,"Treatable",NA,NA,"Exponential","C","0.01"
8,0.0962242020102344,-1.01671568183367,"Treatable",NA,NA,"Exponential","C","0.01"
2,1.40318436980813e-07,-6.85288526159483,"Treatable",NA,NA,"Exponential","C","0.05"
2.5,4.43725791443583e-07,-6.35288532729856,"Treatable",NA,NA,"Exponential","C","0.05"
3,1.40318348429425e-06,-5.85288553566709,"Treatable",NA,NA,"Exponential","C","0.05"
3.5,4.4372490538569e-06,-5.35288619452433,"Treatable",NA,NA,"Exponential","C","0.05"
4,1.40317462411499e-05,-4.85288827795928,"Treatable",NA,NA,"Exponential","C","0.05"
4.5,4.43716045360754e-05,-4.35289486633497,"Treatable",NA,NA,"Exponential","C","0.05"
5,0.000140308602697758,-3.85291570039268,"Treatable",NA,NA,"Exponential","C","0.05"
5.5,0.000443627458075246,-3.3529815812751,"Treatable",NA,NA,"Exponential","C","0.05"
6,0.00140220046567929,-2.85318989299227,"Treatable",NA,NA,"Exponential","C","0.05"
6.5,0.00442742881014224,-2.35384841322337,"Treatable",NA,NA,"Exponential","C","0.05"
7,0.0139338572048595,-1.85592864445879,"Treatable",NA,NA,"Exponential","C","0.05"
7.5,0.0434025266153669,-1.36248498792591,"Treatable",NA,NA,"Exponential","C","0.05"
8,0.13091856493526,-0.882998763859859,"Treatable",NA,NA,"Exponential","C","0.05"
2,1.89249036997019e-07,-6.72296632175098,"Untreatable",NA,NA,"Exponential","C","0.1"
2.5,5.98457879585901e-07,-6.22296641051594,"Untreatable",NA,NA,"Exponential","C","0.1"
3,1.89248875859249e-06,-5.72296669153502,"Untreatable",NA,NA,"Exponential","C","0.1"
3.5,5.98456267852931e-06,-5.2229675801349,"Untreatable",NA,NA,"Exponential","C","0.1"
4,1.89247264180681e-05,-4.72297039008322,"Untreatable",NA,NA,"Exponential","C","0.1"
4.5,5.98440151368118e-05,-4.22297927588452,"Untreatable",NA,NA,"Exponential","C","0.1"
5,0.000189231148457258,-3.72300737485976,"Untreatable",NA,NA,"Exponential","C","0.1"
5.5,0.000598279018307113,-3.223096227633,"Untreatable",NA,NA,"Exponential","C","0.1"
6,0.00189070091819232,-2.72337716488923,"Untreatable",NA,NA,"Exponential","C","0.1"
6.5,0.005966708653517,-2.22426516766269,"Untreatable",NA,NA,"Exponential","C","0.1"
7,0.018746953810118,-1.7270692906527,"Untreatable",NA,NA,"Exponential","C","0.1"
7.5,0.0580902406484713,-1.23589682438301,"Untreatable",NA,NA,"Exponential","C","0.1"
8,0.172419631944804,-0.763413286307795,"Untreatable",NA,NA,"Exponential","C","0.1"
2,1.99676469803123e-08,-7.69967311007548,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
2.5,6.31432350850503e-08,-7.19967317119905,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
3,1.99676352674594e-07,-6.69967336482902,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
3.5,6.31431177011699e-07,-6.19967397855741,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
4,1.99675178313985e-06,-5.69967591906154,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
4.5,6.31419434038438e-06,-5.19968205537733,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
5,1.99663436043496e-05,-4.69970145930782,"Treatable",0.18033542523538,903138028.153798,"Beta-Poisson","D","0"
