"dose","risk","outcome","variable","scenario","model","dataset","panel"
3,-3.88290191734812,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
3.5,-3.38331840465265,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
4,-2.88463139579044,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
4.5,-2.38874345691368,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
5,-1.90136487141517,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
5.5,-1.43793570344154,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
6,-1.03011712445182,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
6.5,-0.712190065925132,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
7,-0.48601213079636,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
7.5,-0.326803379854267,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
8,-0.215812887989623,"Higher treatability","0","Varying %MIC","Beta-Poisson","Dataset 2","C"
2,-5.97401440406359,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
2.5,-5.47401645668207,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
3,-4.9740229475116,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
3.5,-4.4740434724544,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
4,-3.97410836938997,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
4.5,-3.47431350529593,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
5,-2.97496134147328,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
5.5,-2.47700142892901,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
6,-1.98336893799762,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
6.5,-1.50271634609661,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
7,-1.05728908851536,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
7.5,-0.687480113898148,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
8,-0.426447887001391,"Lower treatability","0.5","Varying %MIC","Beta-Poisson","Dataset 2","C"
2,-6.23133871966021,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
2.5,-5.73134060642167,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
3,-5.23134657258468,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
3.5,-4.7313654384387,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
4,-4.23142508923196,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
4.5,-3.73161363890042,"Lower treatability","1","Varying %MIC","Beta-Poisson","Dataset 2","C"
