"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
8.5,0.961991979849915,-0.0168285486705502,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
9,0.990289615194284,-0.00423777521385087,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.05","Varying resistant fraction"
1,7.24557117748326e-07,-6.13992737286341,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
1.5,2.29124741701892e-06,-5.63992801162059,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
2,7.24552681974355e-06,-5.13993003164352,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
2.5,2.29120305981212e-05,-4.63993641938855,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
3,7.24508327172302e-05,-4.13995661857901,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
3.5,0.000229075958351643,-3.64002048786473,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
4,0.000724065077258862,-3.14022239868643,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
4.5,0.00228633422905211,-2.64086028171729,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
5,0.0071966217626237,-2.14287132220094,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
5.5,0.0224300155668621,-1.64917042500821,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
6,0.067840311857778,-1.1685121643215,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
6.5,0.188538381223022,-0.724600226059767,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
7,0.430573195411826,-0.365953009921436,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
7.5,0.720378494929383,-0.142439260417891,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
8,0.904021418814221,-0.0438212797429686,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
8.5,0.973490483897184,-0.0116682894558569,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
9,0.993322157838033,-0.00290987670036372,"Less likely treatable",0.63934082173412,21587817.2356096,"Doxycycline",2,"0.1","Varying resistant fraction"
