"dose","riskbp","riskbp_log10","abfailbp","alpha_s","beta_s","antibiotic","pMIC","fr","scenario"
6,0.157443431097512,-0.802875454415278,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
6.5,0.377460861905704,-0.423128072748883,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
7,0.670866470196338,-0.173363913553557,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
7.5,0.878227599089531,-0.0563929189237863,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
8,0.963955658617247,-0.0159429429236767,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
8.5,0.99030064010861,-0.00423294023150928,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
9,0.997476330345845,-0.00109740112708116,"Less likely treatable",0.583509643881879,5033728.78669542,"Doxycycline","1",0.2,"Varying %MIC"
1,1.04133020417674e-06,-5.9824115345504,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
1.5,3.29296666101708e-06,-5.48241266619353,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
2,1.04131891029979e-05,-4.98241624477105,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
2.5,3.29285372537846e-05,-4.48242756101962,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
3,0.000104120598571122,-3.98246334387256,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
3.5,0.000329172483113593,-3.48257647641057,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
4,0.00104007820234153,-2.98293400534684,"Less likely treatable",0.583525026088884,37255911.8539713,"Doxycycline","2.5",0.2,"Varying %MIC"
